"item","element_type","width_m","height_m","area_m2","glass_supply_model","wind_load","thermal_performance","price_material_gbp","price_glass_unit_gbp","labour_work_gbp","coating_type","coating_total_gbp","margin_gbp","final_price_gbp","fabrication_time_h"
"18","Double door","2","2","4","External supplier provides glass units (43% material margin only)","< 1.5 kN/m²","1.2 – 1.6 W/m²K","3019","0","158","Qualicoat Class 2","672","1298,17","5147,17","16"
"19","Double door","2","2","4","Company supplies glass units (34% full project margin)","1.5 – 1.6 kN/m²","< 0.9 W/m²K","3091","198","317","Qualicoat Class 2","672","1346,74","5624,74","16"
"20","Double door","2","2","4","External supplier provides glass units (43% material margin only)","1.5 – 1.6 kN/m²","< 0.9 W/m²K","3091","0","158","Qualicoat Class 2","672","1329,13","5250,13","16"
"21","Double door","2","2","4","Company supplies glass units (34% full project margin)","1.5 – 1.6 kN/m²","0.9 – 1.2 W/m²K","3091","190","317","Qualicoat Class 2","672","1344,02","5614,02","16"
"22","Double door","2","2","4","External supplier provides glass units (43% material margin only)","1.5 – 1.6 kN/m²","0.9 – 1.2 W/m²K","3091","0","158","Qualicoat Class 2","672","1329,13","5250,13","16"
"23","Double door","2","2","4","Company supplies glass units (34% full project margin)","1.5 – 1.6 kN/m²","1.2 – 1.6 W/m²K","3091","185","317","Qualicoat Class 2","672","1342,32","5607,32","16"
"24","Double door","2","2","4","External supplier provides glass units (43% material margin only)","1.5 – 1.6 kN/m²","1.2 – 1.6 W/m²K","3091","0","158","Qualicoat Class 2","672","1329,13","5250,13","16"
"13","Double door","2","2","4","Company supplies glass units (34% full project margin)","< 1.5 kN/m²","< 0.9 W/m²K","3019","198","317","Qualicoat Seaside","1072","1458,26","6064,26","16"
"14","Double door","2","2","4","External supplier provides glass units (43% material margin only)","< 1.5 kN/m²","< 0.9 W/m²K","3019","0","158","Qualicoat Seaside","1072","1298,17","5547,17","16"
"15","Double door","2","2","4","Company supplies glass units (34% full project margin)","< 1.5 kN/m²","0.9 – 1.2 W/m²K","3019","190","317","Qualicoat Seaside","1072","1455,54","6053,54","16"
"16","Double door","2","2","4","External supplier provides glass units (43% material margin only)","< 1.5 kN/m²","0.9 – 1.2 W/m²K","3019","0","158","Qualicoat Seaside","1072","1298,17","5547,17","16"
"17","Double door","2","2","4","Company supplies glass units (34% full project margin)","< 1.5 kN/m²","1.2 – 1.6 W/m²K","3019","185","317","Qualicoat Seaside","1072","1453,84","6046,84","16"
"18","Double door","2","2","4","External supplier provides glass units (43% material margin only)","< 1.5 kN/m²","1.2 – 1.6 W/m²K","3019","0","158","Qualicoat Seaside","1072","1298,17","5547,17","16"
"19","Double door","2","2","4","Company supplies glass units (34% full project margin)","1.5 – 1.6 kN/m²","< 0.9 W/m²K","3091","198","317","Qualicoat Seaside","1072","1482,74","6160,74","16"
"20","Double door","2","2","4","External supplier provides glass units (43% material margin only)","1.5 – 1.6 kN/m²","< 0.9 W/m²K","3091","0","158","Qualicoat Seaside","1072","1329,13","5650,13","16"
"21","Double door","2","2","4","Company supplies glass units (34% full project margin)","1.5 – 1.6 kN/m²","0.9 – 1.2 W/m²K","3091","190","317","Qualicoat Seaside","1072","1480,02","6150,02","16"
"22","Double door","2","2","4","External supplier provides glass units (43% material margin only)","1.5 – 1.6 kN/m²","0.9 – 1.2 W/m²K","3091","0","158","Qualicoat Seaside","1072","1329,13","5650,13","16"
"23","Double door","2","2","4","Company supplies glass units (34% full project margin)","1.5 – 1.6 kN/m²","1.2 – 1.6 W/m²K","3091","185","317","Qualicoat Seaside","1072","1478,32","6143,32","16"
"24","Double door","2","2","4","External supplier provides glass units (43% material margin only)","1.5 – 1.6 kN/m²","1.2 – 1.6 W/m²K","3091","0","158","Qualicoat Seaside","1072","1329,13","5650,13","16"
"1","Facade","1","1","1","Company supplies glass units (34% full project margin)","< 1.5 kN/m²","< 0.9 W/m²K","477","42","75","Pre-anodized + Qualicoat Class 1","138","223,38","955,38","5"
"2","Facade","1","1","1","External supplier provides glass units (43% material margin only)","< 1.5 kN/m²","< 0.9 W/m²K","477","0","37","Pre-anodized + Qualicoat Class 1","138","205,11","857,11","5"
"3","Facade","1","1","1","Company supplies glass units (34% full project margin)","< 1.5 kN/m²","0.9 – 1.2 W/m²K","477","37","75","Pre-anodized + Qualicoat Class 1","138","221,68","948,68","5"
"4","Facade","1","1","1","External supplier provides glass units (43% material margin only)","< 1.5 kN/m²","0.9 – 1.2 W/m²K","477","0","37","Pre-anodized + Qualicoat Class 1","138","205,11","857,11","5"
"5","Facade","1","1","1","Company supplies glass units (34% full project margin)","< 1.5 kN/m²","1.2 – 1.6 W/m²K","477","32","75","Pre-anodized + Qualicoat Class 1","138","219,98","941,98","5"
"6","Facade","1","1","1","External supplier provides glass units (43% material margin only)","< 1.5 kN/m²","1.2 – 1.6 W/m²K","477","0","37","Pre-anodized + Qualicoat Class 1","138","205,11","857,11","5"
"7","Facade","1","1","1","Company supplies glass units (34% full project margin)","1.5 – 1.6 kN/m²","< 0.9 W/m²K","577","42","75","Pre-anodized + Qualicoat Class 1","138","257,38","1089,38","5"
"8","Facade","1","1","1","External supplier provides glass units (43% material margin only)","1.5 – 1.6 kN/m²","< 0.9 W/m²K","577","0","37","Pre-anodized + Qualicoat Class 1","138","248,11","1000,11","5"
"9","Facade","1","1","1","Company supplies glass units (34% full project margin)","1.5 – 1.6 kN/m²","0.9 – 1.2 W/m²K","577","37","75","Pre-anodized + Qualicoat Class 1","138","255,68","1082,68","5"
"10","Facade","1","1","1","External supplier provides glass units (43% material margin only)","1.5 – 1.6 kN/m²","0.9 – 1.2 W/m²K","577","0","37","Pre-anodized + Qualicoat Class 1","138","248,11","1000,11","5"
"11","Facade","1","1","1","Company supplies glass units (34% full project margin)","1.5 – 1.6 kN/m²","1.2 – 1.6 W/m²K","577","32","75","Pre-anodized + Qualicoat Class 1","138","253,98","1075,98","5"
"12","Facade","1","1","1","External supplier provides glass units (43% material margin only)","1.5 – 1.6 kN/m²","1.2 – 1.6 W/m²K","577","0","37","Pre-anodized + Qualicoat Class 1","138","248,11","1000,11","5"
"13","Facade","1","1","1","Company supplies glass units (34% full project margin)","< 1.5 kN/m²","< 0.9 W/m²K","477","42","75","Qualicoat Class 2","168","233,58","995,58","5"
"14","Facade","1","1","1","External supplier provides glass units (43% material margin only)","< 1.5 kN/m²","< 0.9 W/m²K","477","0","37","Qualicoat Class 2","168","205,11","887,11","5"
"15","Facade","1","1","1","Company supplies glass units (34% full project margin)","< 1.5 kN/m²","0.9 – 1.2 W/m²K","477","37","75","Qualicoat Class 2","168","231,88","988,88","5"
"16","Facade","1","1","1","External supplier provides glass units (43% material margin only)","< 1.5 kN/m²","0.9 – 1.2 W/m²K","477","0","37","Qualicoat Class 2","168","205,11","887,11","5"
"17","Facade","1","1","1","Company supplies glass units (34% full project margin)","< 1.5 kN/m²","1.2 – 1.6 W/m²K","477","32","75","Qualicoat Class 2","168","230,18","982,18","5"
"18","Facade","1","1","1","External supplier provides glass units (43% material margin only)","< 1.5 kN/m²","1.2 – 1.6 W/m²K","477","0","37","Qualicoat Class 2","168","205,11","887,11","5"
"19","Facade","1","1","1","Company supplies glass units (34% full project margin)","1.5 – 1.6 kN/m²","< 0.9 W/m²K","577","42","75","Qualicoat Class 2","168","267,58","1129,58","5"
"20","Facade","1","1","1","External supplier provides glass units (43% material margin only)","1.5 – 1.6 kN/m²","< 0.9 W/m²K","577","0","37","Qualicoat Class 2","168","248,11","1030,11","5"
"21","Facade","1","1","1","Company supplies glass units (34% full project margin)","1.5 – 1.6 kN/m²","0.9 – 1.2 W/m²K","577","37","75","Qualicoat Class 2","168","265,88","1122,88","5"
"22","Facade","1","1","1","External supplier provides glass units (43% material margin only)","1.5 – 1.6 kN/m²","0.9 – 1.2 W/m²K","577","0","37","Qualicoat Class 2","168","248,11","1030,11","5"
"23","Facade","1","1","1","Company supplies glass units (34% full project margin)","1.5 – 1.6 kN/m²","1.2 – 1.6 W/m²K","577","32","75","Qualicoat Class 2","168","264,18","1116,18","5"
