"item","element_type","width_m","height_m","area_m2","glass_supply_model","wind_load","thermal_performance","price_material_gbp","price_glass_unit_gbp","labour_work_gbp","coating_type","coating_total_gbp","margin_gbp","final_price_gbp","fabrication_time_h"
"22","Facade","2","2","4","External supplier provides glass units (43% material margin only)","1.5 – 1.6 kN/m²","0.9 – 1.2 W/m²K","577","0","37","Qualicoat Seaside","1072","248,11","1934,11","5"
"23","Facade","2","2","4","Company supplies glass units (34% full project margin)","1.5 – 1.6 kN/m²","1.2 – 1.6 W/m²K","577","32","75","Qualicoat Seaside","1072","571,54","2327,54","5"
"24","Facade","2","2","4","External supplier provides glass units (43% material margin only)","1.5 – 1.6 kN/m²","1.2 – 1.6 W/m²K","577","0","37","Qualicoat Seaside","1072","248,11","1934,11","5"
"1","Double Sliding door","2,5","2,1","5,25","Company supplies glass units (34% full project margin)","< 1.5 kN/m²","< 0.9 W/m²K","4560","261","604","Pre-anodized + Qualicoat Class 1","724,5","1885,47","8034,97","20"
"2","Double Sliding door","2,5","2,1","5,25","External supplier provides glass units (43% material margin only)","< 1.5 kN/m²","< 0.9 W/m²K","4560","0","302","Pre-anodized + Qualicoat Class 1","724,5","1960,8","7547,3","20"
"3","Double Sliding door","2,5","2,1","5,25","Company supplies glass units (34% full project margin)","< 1.5 kN/m²","0.9 – 1.2 W/m²K","4560","248","604","Pre-anodized + Qualicoat Class 1","724,5","1881,05","8017,55","20"
"4","Double Sliding door","2,5","2,1","5,25","External supplier provides glass units (43% material margin only)","< 1.5 kN/m²","0.9 – 1.2 W/m²K","4560","0","302","Pre-anodized + Qualicoat Class 1","724,5","1960,8","7547,3","20"
"5","Double Sliding door","2,5","2,1","5,25","Company supplies glass units (34% full project margin)","< 1.5 kN/m²","1.2 – 1.6 W/m²K","4560","239","604","Pre-anodized + Qualicoat Class 1","724,5","1877,99","8005,49","20"
"6","Double Sliding door","2,5","2,1","5,25","External supplier provides glass units (43% material margin only)","< 1.5 kN/m²","1.2 – 1.6 W/m²K","4560","0","302","Pre-anodized + Qualicoat Class 1","724,5","1960,8","7547,3","20"
"7","Double Sliding door","2,5","2,1","5,25","Company supplies glass units (34% full project margin)","1.5 – 1.6 kN/m²","< 0.9 W/m²K","4560","261","604","Pre-anodized + Qualicoat Class 1","724,5","1885,47","8034,97","20"
"8","Double Sliding door","2,5","2,1","5,25","External supplier provides glass units (43% material margin only)","1.5 – 1.6 kN/m²","< 0.9 W/m²K","4560","0","302","Pre-anodized + Qualicoat Class 1","724,5","1960,8","7547,3","20"
"9","Double Sliding door","2,5","2,1","5,25","Company supplies glass units (34% full project margin)","1.5 – 1.6 kN/m²","0.9 – 1.2 W/m²K","4560","248","604","Pre-anodized + Qualicoat Class 1","724,5","1881,05","8017,55","20"
"10","Double Sliding door","2,5","2,1","5,25","External supplier provides glass units (43% material margin only)","1.5 – 1.6 kN/m²","0.9 – 1.2 W/m²K","4560","0","302","Pre-anodized + Qualicoat Class 1","724,5","1960,8","7547,3","20"
"11","Double Sliding door","2,5","2,1","5,25","Company supplies glass units (34% full project margin)","1.5 – 1.6 kN/m²","1.2 – 1.6 W/m²K","4560","239","604","Pre-anodized + Qualicoat Class 1","724,5","1877,99","8005,49","20"
"12","Double Sliding door","2,5","2,1","5,25","External supplier provides glass units (43% material margin only)","1.5 – 1.6 kN/m²","1.2 – 1.6 W/m²K","4560","0","302","Pre-anodized + Qualicoat Class 1","724,5","1960,8","7547,3","20"
"13","Double Sliding door","2,5","2,1","5,25","Company supplies glass units (34% full project margin)","< 1.5 kN/m²","< 0.9 W/m²K","4560","261","604","Qualicoat Class 2","882","1939,02","8246,02","20"
"14","Double Sliding door","2,5","2,1","5,25","External supplier provides glass units (43% material margin only)","< 1.5 kN/m²","< 0.9 W/m²K","4560","0","302","Qualicoat Class 2","882","1960,8","7704,8","20"
"15","Double Sliding door","2,5","2,1","5,25","Company supplies glass units (34% full project margin)","< 1.5 kN/m²","0.9 – 1.2 W/m²K","4560","248","604","Qualicoat Class 2","882","1934,6","8228,6","20"
"16","Double Sliding door","2,5","2,1","5,25","External supplier provides glass units (43% material margin only)","< 1.5 kN/m²","0.9 – 1.2 W/m²K","4560","0","302","Qualicoat Class 2","882","1960,8","7704,8","20"
"17","Double Sliding door","2,5","2,1","5,25","Company supplies glass units (34% full project margin)","< 1.5 kN/m²","1.2 – 1.6 W/m²K","4560","239","604","Qualicoat Class 2","882","1931,54","8216,54","20"
"18","Double Sliding door","2,5","2,1","5,25","External supplier provides glass units (43% material margin only)","< 1.5 kN/m²","1.2 – 1.6 W/m²K","4560","0","302","Qualicoat Class 2","882","1960,8","7704,8","20"
"19","Double Sliding door","2,5","2,1","5,25","Company supplies glass units (34% full project margin)","1.5 – 1.6 kN/m²","< 0.9 W/m²K","4560","261","604","Qualicoat Class 2","882","1939,02","8246,02","20"
"20","Double Sliding door","2,5","2,1","5,25","External supplier provides glass units (43% material margin only)","1.5 – 1.6 kN/m²","< 0.9 W/m²K","4560","0","302","Qualicoat Class 2","882","1960,8","7704,8","20"
"21","Double Sliding door","2,5","2,1","5,25","Company supplies glass units (34% full project margin)","1.5 – 1.6 kN/m²","0.9 – 1.2 W/m²K","4560","248","604","Qualicoat Class 2","882","1934,6","8228,6","20"
"22","Double Sliding door","2,5","2,1","5,25","External supplier provides glass units (43% material margin only)","1.5 – 1.6 kN/m²","0.9 – 1.2 W/m²K","4560","0","302","Qualicoat Class 2","882","1960,8","7704,8","20"
"23","Double Sliding door","2,5","2,1","5,25","Company supplies glass units (34% full project margin)","1.5 – 1.6 kN/m²","1.2 – 1.6 W/m²K","4560","239","604","Qualicoat Class 2","882","1931,54","8216,54","20"
"24","Double Sliding door","2,5","2,1","5,25","External supplier provides glass units (43% material margin only)","1.5 – 1.6 kN/m²","1.2 – 1.6 W/m²K","4560","0","302","Qualicoat Class 2","882","1960,8","7704,8","20"
"13","Double Sliding door","2,5","2,1","5,25","Company supplies glass units (34% full project margin)","< 1.5 kN/m²","< 0.9 W/m²K","4560","261","604","Qualicoat Seaside","1407","2117,52","8949,52","20"
"14","Double Sliding door","2,5","2,1","5,25","External supplier provides glass units (43% material margin only)","< 1.5 kN/m²","< 0.9 W/m²K","4560","0","302","Qualicoat Seaside","1407","1960,8","8229,8","20"
"15","Double Sliding door","2,5","2,1","5,25","Company supplies glass units (34% full project margin)","< 1.5 kN/m²","0.9 – 1.2 W/m²K","4560","248","604","Qualicoat Seaside","1407","2113,1","8932,1","20"
"16","Double Sliding door","2,5","2,1","5,25","External supplier provides glass units (43% material margin only)","< 1.5 kN/m²","0.9 – 1.2 W/m²K","4560","0","302","Qualicoat Seaside","1407","1960,8","8229,8","20"
"17","Double Sliding door","2,5","2,1","5,25","Company supplies glass units (34% full project margin)","< 1.5 kN/m²","1.2 – 1.6 W/m²K","4560","239","604","Qualicoat Seaside","1407","2110,04","8920,04","20"
"18","Double Sliding door","2,5","2,1","5,25","External supplier provides glass units (43% material margin only)","< 1.5 kN/m²","1.2 – 1.6 W/m²K","4560","0","302","Qualicoat Seaside","1407","1960,8","8229,8","20"
"19","Double Sliding door","2,5","2,1","5,25","Company supplies glass units (34% full project margin)","1.5 – 1.6 kN/m²","< 0.9 W/m²K","4560","261","604","Qualicoat Seaside","1407","2117,52","8949,52","20"
"20","Double Sliding door","2,5","2,1","5,25","External supplier provides glass units (43% material margin only)","1.5 – 1.6 kN/m²","< 0.9 W/m²K","4560","0","302","Qualicoat Seaside","1407","1960,8","8229,8","20"
"21","Double Sliding door","2,5","2,1","5,25","Company supplies glass units (34% full project margin)","1.5 – 1.6 kN/m²","0.9 – 1.2 W/m²K","4560","248","604","Qualicoat Seaside","1407","2113,1","8932,1","20"
"22","Double Sliding door","2,5","2,1","5,25","External supplier provides glass units (43% material margin only)","1.5 – 1.6 kN/m²","0.9 – 1.2 W/m²K","4560","0","302","Qualicoat Seaside","1407","1960,8","8229,8","20"
"23","Double Sliding door","2,5","2,1","5,25","Company supplies glass units (34% full project margin)","1.5 – 1.6 kN/m²","1.2 – 1.6 W/m²K","4560","239","604","Qualicoat Seaside","1407","2110,04","8920,04","20"
"24","Double Sliding door","2,5","2,1","5,25","External supplier provides glass units (43% material margin only)","1.5 – 1.6 kN/m²","1.2 – 1.6 W/m²K","4560","0","302","Qualicoat Seaside","1407","1960,8","8229,8","20"
"1","Double Sliding door","2,5","3,1","7,75","Company supplies glass units (34% full project margin)","< 1.5 kN/m²","< 0.9 W/m²K","5160","261","604","Pre-anodized + Qualicoat Class 1","1069,5","2206,77","9301,27","20"
"2","Double Sliding door","2,5","3,1","7,75","External supplier provides glass units (43% material margin only)","< 1.5 kN/m²","< 0.9 W/m²K","5160","0","302","Pre-anodized + Qualicoat Class 1","1069,5","2218,8","8750,3","20"
"3","Double Sliding door","2,5","3,1","7,75","Company supplies glass units (34% full project margin)","< 1.5 kN/m²","0.9 – 1.2 W/m²K","5160","248","604","Pre-anodized + Qualicoat Class 1","1069,5","2202,35","9283,85","20"
"4","Double Sliding door","2,5","3,1","7,75","External supplier provides glass units (43% material margin only)","< 1.5 kN/m²","0.9 – 1.2 W/m²K","5160","0","302","Pre-anodized + Qualicoat Class 1","1069,5","2218,8","8750,3","20"
"5","Double Sliding door","2,5","3,1","7,75","Company supplies glass units (34% full project margin)","< 1.5 kN/m²","1.2 – 1.6 W/m²K","5160","239","604","Pre-anodized + Qualicoat Class 1","1069,5","2199,29","9271,79","20"
"6","Double Sliding door","2,5","3,1","7,75","External supplier provides glass units (43% material margin only)","< 1.5 kN/m²","1.2 – 1.6 W/m²K","5160","0","302","Pre-anodized + Qualicoat Class 1","1069,5","2218,8","8750,3","20"
"7","Double Sliding door","2,5","3,1","7,75","Company supplies glass units (34% full project margin)","1.5 – 1.6 kN/m²","< 0.9 W/m²K","5160","261","604","Pre-anodized + Qualicoat Class 1","1069,5","2206,77","9301,27","20"
"8","Double Sliding door","2,5","3,1","7,75","External supplier provides glass units (43% material margin only)","1.5 – 1.6 kN/m²","< 0.9 W/m²K","5160","0","302","Pre-anodized + Qualicoat Class 1","1069,5","2218,8","8750,3","20"
"9","Double Sliding door","2,5","3,1","7,75","Company supplies glass units (34% full project margin)","1.5 – 1.6 kN/m²","0.9 – 1.2 W/m²K","5160","248","604","Pre-anodized + Qualicoat Class 1","1069,5","2202,35","9283,85","20"
"10","Double Sliding door","2,5","3,1","7,75","External supplier provides glass units (43% material margin only)","1.5 – 1.6 kN/m²","0.9 – 1.2 W/m²K","5160","0","302","Pre-anodized + Qualicoat Class 1","1069,5","2218,8","8750,3","20"
"11","Double Sliding door","2,5","3,1","7,75","Company supplies glass units (34% full project margin)","1.5 – 1.6 kN/m²","1.2 – 1.6 W/m²K","5160","239","604","Pre-anodized + Qualicoat Class 1","1069,5","2199,29","9271,79","20"
"12","Double Sliding door","2,5","3,1","7,75","External supplier provides glass units (43% material margin only)","1.5 – 1.6 kN/m²","1.2 – 1.6 W/m²K","5160","0","302","Pre-anodized + Qualicoat Class 1","1069,5","2218,8","8750,3","20"
"13","Double Sliding door","2,5","3,1","7,75","Company supplies glass units (34% full project margin)","< 1.5 kN/m²","< 0.9 W/m²K","5160","261","604","Qualicoat Class 2","1302","2285,82","9612,82","20"
"14","Double Sliding door","2,5","3,1","7,75","External supplier provides glass units (43% material margin only)","< 1.5 kN/m²","< 0.9 W/m²K","5160","0","302","Qualicoat Class 2","1302","2218,8","8982,8","20"
"15","Double Sliding door","2,5","3,1","7,75","Company supplies glass units (34% full project margin)","< 1.5 kN/m²","0.9 – 1.2 W/m²K","5160","248","604","Qualicoat Class 2","1302","2281,4","9595,4","20"
"16","Double Sliding door","2,5","3,1","7,75","External supplier provides glass units (43% material margin only)","< 1.5 kN/m²","0.9 – 1.2 W/m²K","5160","0","302","Qualicoat Class 2","1302","2218,8","8982,8","20"
"17","Double Sliding door","2,5","3,1","7,75","Company supplies glass units (34% full project margin)","< 1.5 kN/m²","1.2 – 1.6 W/m²K","5160","239","604","Qualicoat Class 2","1302","2278,34","9583,34","20"
"18","Double Sliding door","2,5","3,1","7,75","External supplier provides glass units (43% material margin only)","< 1.5 kN/m²","1.2 – 1.6 W/m²K","5160","0","302","Qualicoat Class 2","1302","2218,8","8982,8","20"
"19","Double Sliding door","2,5","3,1","7,75","Company supplies glass units (34% full project margin)","1.5 – 1.6 kN/m²","< 0.9 W/m²K","5160","261","604","Qualicoat Class 2","1302","2285,82","9612,82","20"
"20","Double Sliding door","2,5","3,1","7,75","External supplier provides glass units (43% material margin only)","1.5 – 1.6 kN/m²","< 0.9 W/m²K","5160","0","302","Qualicoat Class 2","1302","2218,8","8982,8","20"
"21","Double Sliding door","2,5","3,1","7,75","Company supplies glass units (34% full project margin)","1.5 – 1.6 kN/m²","0.9 – 1.2 W/m²K","5160","248","604","Qualicoat Class 2","1302","2281,4","9595,4","20"
"22","Double Sliding door","2,5","3,1","7,75","External supplier provides glass units (43% material margin only)","1.5 – 1.6 kN/m²","0.9 – 1.2 W/m²K","5160","0","302","Qualicoat Class 2","1302","2218,8","8982,8","20"
"23","Double Sliding door","2,5","3,1","7,75","Company supplies glass units (34% full project margin)","1.5 – 1.6 kN/m²","1.2 – 1.6 W/m²K","5160","239","604","Qualicoat Class 2","1302","2278,34","9583,34","20"
"24","Double Sliding door","2,5","3,1","7,75","External supplier provides glass units (43% material margin only)","1.5 – 1.6 kN/m²","1.2 – 1.6 W/m²K","5160","0","302","Qualicoat Class 2","1302","2218,8","8982,8","20"
"13","Double Sliding door","2,5","3,1","7,75","Company supplies glass units (34% full project margin)","< 1.5 kN/m²","< 0.9 W/m²K","5160","261","604","Qualicoat Seaside","2077","2549,32","10651,32","20"
"14","Double Sliding door","2,5","3,1","7,75","External supplier provides glass units (43% material margin only)","< 1.5 kN/m²","< 0.9 W/m²K","5160","0","302","Qualicoat Seaside","2077","2218,8","9757,8","20"
"15","Double Sliding door","2,5","3,1","7,75","Company supplies glass units (34% full project margin)","< 1.5 kN/m²","0.9 – 1.2 W/m²K","5160","248","604","Qualicoat Seaside","2077","2544,9","10633,9","20"
"16","Double Sliding door","2,5","3,1","7,75","External supplier provides glass units (43% material margin only)","< 1.5 kN/m²","0.9 – 1.2 W/m²K","5160","0","302","Qualicoat Seaside","2077","2218,8","9757,8","20"
"17","Double Sliding door","2,5","3,1","7,75","Company supplies glass units (34% full project margin)","< 1.5 kN/m²","1.2 – 1.6 W/m²K","5160","239","604","Qualicoat Seaside","2077","2541,84","10621,84","20"
"18","Double Sliding door","2,5","3,1","7,75","External supplier provides glass units (43% material margin only)","< 1.5 kN/m²","1.2 – 1.6 W/m²K","5160","0","302","Qualicoat Seaside","2077","2218,8","9757,8","20"
"19","Double Sliding door","2,5","3,1","7,75","Company supplies glass units (34% full project margin)","1.5 – 1.6 kN/m²","< 0.9 W/m²K","5160","261","604","Qualicoat Seaside","2077","2549,32","10651,32","20"
"20","Double Sliding door","2,5","3,1","7,75","External supplier provides glass units (43% material margin only)","1.5 – 1.6 kN/m²","< 0.9 W/m²K","5160","0","302","Qualicoat Seaside","2077","2218,8","9757,8","20"
"21","Double Sliding door","2,5","3,1","7,75","Company supplies glass units (34% full project margin)","1.5 – 1.6 kN/m²","0.9 – 1.2 W/m²K","5160","248","604","Qualicoat Seaside","2077","2544,9","10633,9","20"
"22","Double Sliding door","2,5","3,1","7,75","External supplier provides glass units (43% material margin only)","1.5 – 1.6 kN/m²","0.9 – 1.2 W/m²K","5160","0","302","Qualicoat Seaside","2077","2218,8","9757,8","20"
"23","Double Sliding door","2,5","3,1","7,75","Company supplies glass units (34% full project margin)","1.5 – 1.6 kN/m²","1.2 – 1.6 W/m²K","5160","239","604","Qualicoat Seaside","2077","2541,84","10621,84","20"
"24","Double Sliding door","2,5","3,1","7,75","External supplier provides glass units (43% material margin only)","1.5 – 1.6 kN/m²","1.2 – 1.6 W/m²K","5160","0","302","Qualicoat Seaside","2077","2218,8","9757,8","20"
"1","Triple Sliding door","3","2,4","7,2","Company supplies glass units (34% full project margin)","< 1.5 kN/m²","< 0.9 W/m²K","6783","361","888","Pre-anodized + Qualicoat Class 1","993,6","2766,784","11792,384","26"
"2","Triple Sliding door","3","2,4","7,2","External supplier provides glass units (43% material margin only)","< 1.5 kN/m²","< 0.9 W/m²K","6783","0","444","Pre-anodized + Qualicoat Class 1","993,6","2916,69","11137,29","26"
"3","Triple Sliding door","3","2,4","7,2","Company supplies glass units (34% full project margin)","< 1.5 kN/m²","0.9 – 1.2 W/m²K","6783","348","888","Pre-anodized + Qualicoat Class 1","993,6","2762,364","11774,964","26"
"4","Triple Sliding door","3","2,4","7,2","External supplier provides glass units (43% material margin only)","< 1.5 kN/m²","0.9 – 1.2 W/m²K","6783","0","444","Pre-anodized + Qualicoat Class 1","993,6","2916,69","11137,29","26"
"5","Triple Sliding door","3","2,4","7,2","Company supplies glass units (34% full project margin)","< 1.5 kN/m²","1.2 – 1.6 W/m²K","6783","358","888","Pre-anodized + Qualicoat Class 1","993,6","2765,764","11788,364","26"
"6","Triple Sliding door","3","2,4","7,2","External supplier provides glass units (43% material margin only)","< 1.5 kN/m²","1.2 – 1.6 W/m²K","6783","0","444","Pre-anodized + Qualicoat Class 1","993,6","2916,69","11137,29","26"
"7","Triple Sliding door","3","2,4","7,2","Company supplies glass units (34% full project margin)","1.5 – 1.6 kN/m²","< 0.9 W/m²K","6783","361","888","Pre-anodized + Qualicoat Class 1","993,6","2766,784","11792,384","26"
"8","Triple Sliding door","3","2,4","7,2","External supplier provides glass units (43% material margin only)","1.5 – 1.6 kN/m²","< 0.9 W/m²K","6783","0","444","Pre-anodized + Qualicoat Class 1","993,6","2916,69","11137,29","26"
"9","Triple Sliding door","3","2,4","7,2","Company supplies glass units (34% full project margin)","1.5 – 1.6 kN/m²","0.9 – 1.2 W/m²K","6783","348","888","Pre-anodized + Qualicoat Class 1","993,6","2762,364","11774,964","26"
"10","Triple Sliding door","3","2,4","7,2","External supplier provides glass units (43% material margin only)","1.5 – 1.6 kN/m²","0.9 – 1.2 W/m²K","6783","0","444","Pre-anodized + Qualicoat Class 1","993,6","2916,69","11137,29","26"
"11","Triple Sliding door","3","2,4","7,2","Company supplies glass units (34% full project margin)","1.5 – 1.6 kN/m²","1.2 – 1.6 W/m²K","6783","358","888","Pre-anodized + Qualicoat Class 1","993,6","2765,764","11788,364","26"
"12","Triple Sliding door","3","2,4","7,2","External supplier provides glass units (43% material margin only)","1.5 – 1.6 kN/m²","1.2 – 1.6 W/m²K","6783","0","444","Pre-anodized + Qualicoat Class 1","993,6","2916,69","11137,29","26"
"13","Triple Sliding door","3","2,4","7,2","Company supplies glass units (34% full project margin)","< 1.5 kN/m²","< 0.9 W/m²K","6783","361","888","Qualicoat Class 2","1209,6","2840,224","12081,824","26"
"14","Triple Sliding door","3","2,4","7,2","External supplier provides glass units (43% material margin only)","< 1.5 kN/m²","< 0.9 W/m²K","6783","0","444","Qualicoat Class 2","1209,6","2916,69","11353,29","26"
"15","Triple Sliding door","3","2,4","7,2","Company supplies glass units (34% full project margin)","< 1.5 kN/m²","0.9 – 1.2 W/m²K","6783","348","888","Qualicoat Class 2","1209,6","2835,804","12064,404","26"
"16","Triple Sliding door","3","2,4","7,2","External supplier provides glass units (43% material margin only)","< 1.5 kN/m²","0.9 – 1.2 W/m²K","6783","0","444","Qualicoat Class 2","1209,6","2916,69","11353,29","26"
"17","Triple Sliding door","3","2,4","7,2","Company supplies glass units (34% full project margin)","< 1.5 kN/m²","1.2 – 1.6 W/m²K","6783","358","888","Qualicoat Class 2","1209,6","2839,204","12077,804","26"
"18","Triple Sliding door","3","2,4","7,2","External supplier provides glass units (43% material margin only)","< 1.5 kN/m²","1.2 – 1.6 W/m²K","6783","0","444","Qualicoat Class 2","1209,6","2916,69","11353,29","26"
"19","Triple Sliding door","3","2,4","7,2","Company supplies glass units (34% full project margin)","1.5 – 1.6 kN/m²","< 0.9 W/m²K","6783","361","888","Qualicoat Class 2","1209,6","2840,224","12081,824","26"
"20","Triple Sliding door","3","2,4","7,2","External supplier provides glass units (43% material margin only)","1.5 – 1.6 kN/m²","< 0.9 W/m²K","6783","0","444","Qualicoat Class 2","1209,6","2916,69","11353,29","26"
"21","Triple Sliding door","3","2,4","7,2","Company supplies glass units (34% full project margin)","1.5 – 1.6 kN/m²","0.9 – 1.2 W/m²K","6783","348","888","Qualicoat Class 2","1209,6","2835,804","12064,404","26"
"22","Triple Sliding door","3","2,4","7,2","External supplier provides glass units (43% material margin only)","1.5 – 1.6 kN/m²","0.9 – 1.2 W/m²K","6783","0","444","Qualicoat Class 2","1209,6","2916,69","11353,29","26"
"23","Triple Sliding door","3","2,4","7,2","Company supplies glass units (34% full project margin)","1.5 – 1.6 kN/m²","1.2 – 1.6 W/m²K","6783","358","888","Qualicoat Class 2","1209,6","2839,204","12077,804","26"
"24","Triple Sliding door","3","2,4","7,2","External supplier provides glass units (43% material margin only)","1.5 – 1.6 kN/m²","1.2 – 1.6 W/m²K","6783","0","444","Qualicoat Class 2","1209,6","2916,69","11353,29","26"
"13","Triple Sliding door","3","2,4","7,2","Company supplies glass units (34% full project margin)","< 1.5 kN/m²","< 0.9 W/m²K","6783","361","888","Qualicoat Seaside","1929,6","3085,024","13046,624","26"
"14","Triple Sliding door","3","2,4","7,2","External supplier provides glass units (43% material margin only)","< 1.5 kN/m²","< 0.9 W/m²K","6783","0","444","Qualicoat Seaside","1929,6","2916,69","12073,29","26"
"15","Triple Sliding door","3","2,4","7,2","Company supplies glass units (34% full project margin)","< 1.5 kN/m²","0.9 – 1.2 W/m²K","6783","348","888","Qualicoat Seaside","1929,6","3080,604","13029,204","26"
"16","Triple Sliding door","3","2,4","7,2","External supplier provides glass units (43% material margin only)","< 1.5 kN/m²","0.9 – 1.2 W/m²K","6783","0","444","Qualicoat Seaside","1929,6","2916,69","12073,29","26"
"17","Triple Sliding door","3","2,4","7,2","Company supplies glass units (34% full project margin)","< 1.5 kN/m²","1.2 – 1.6 W/m²K","6783","358","888","Qualicoat Seaside","1929,6","3084,004","13042,604","26"
"18","Triple Sliding door","3","2,4","7,2","External supplier provides glass units (43% material margin only)","< 1.5 kN/m²","1.2 – 1.6 W/m²K","6783","0","444","Qualicoat Seaside","1929,6","2916,69","12073,29","26"
"19","Triple Sliding door","3","2,4","7,2","Company supplies glass units (34% full project margin)","1.5 – 1.6 kN/m²","< 0.9 W/m²K","6783","361","888","Qualicoat Seaside","1929,6","3085,024","13046,624","26"
"20","Triple Sliding door","3","2,4","7,2","External supplier provides glass units (43% material margin only)","1.5 – 1.6 kN/m²","< 0.9 W/m²K","6783","0","444","Qualicoat Seaside","1929,6","2916,69","12073,29","26"
"21","Triple Sliding door","3","2,4","7,2","Company supplies glass units (34% full project margin)","1.5 – 1.6 kN/m²","0.9 – 1.2 W/m²K","6783","348","888","Qualicoat Seaside","1929,6","3080,604","13029,204","26"
"22","Triple Sliding door","3","2,4","7,2","External supplier provides glass units (43% material margin only)","1.5 – 1.6 kN/m²","0.9 – 1.2 W/m²K","6783","0","444","Qualicoat Seaside","1929,6","2916,69","12073,29","26"
"23","Triple Sliding door","3","2,4","7,2","Company supplies glass units (34% full project margin)","1.5 – 1.6 kN/m²","1.2 – 1.6 W/m²K","6783","358","888","Qualicoat Seaside","1929,6","3084,004","13042,604","26"
"24","Triple Sliding door","3","2,4","7,2","External supplier provides glass units (43% material margin only)","1.5 – 1.6 kN/m²","1.2 – 1.6 W/m²K","6783","0","444","Qualicoat Seaside","1929,6","2916,69","12073,29","26"
"1","Triple Sliding door","3","3","9","Company supplies glass units (34% full project margin)","< 1.5 kN/m²","< 0.9 W/m²K","7593","461","888","Pre-anodized + Qualicoat Class 1","1242","3160,64","13344,64","26"
"2","Triple Sliding door","3","3","9","External supplier provides glass units (43% material margin only)","< 1.5 kN/m²","< 0.9 W/m²K","7593","0","444","Pre-anodized + Qualicoat Class 1","1242","3264,99","12543,99","26"
"3","Triple Sliding door","3","3","9","Company supplies glass units (34% full project margin)","< 1.5 kN/m²","0.9 – 1.2 W/m²K","7593","448","888","Pre-anodized + Qualicoat Class 1","1242","3156,22","13327,22","26"
"4","Triple Sliding door","3","3","9","External supplier provides glass units (43% material margin only)","< 1.5 kN/m²","0.9 – 1.2 W/m²K","7593","0","444","Pre-anodized + Qualicoat Class 1","1242","3264,99","12543,99","26"
"5","Triple Sliding door","3","3","9","Company supplies glass units (34% full project margin)","< 1.5 kN/m²","1.2 – 1.6 W/m²K","7593","435","888","Pre-anodized + Qualicoat Class 1","1242","3151,8","13309,8","26"
"6","Triple Sliding door","3","3","9","External supplier provides glass units (43% material margin only)","< 1.5 kN/m²","1.2 – 1.6 W/m²K","7593","0","444","Pre-anodized + Qualicoat Class 1","1242","3264,99","12543,99","26"
"7","Triple Sliding door","3","3","9","Company supplies glass units (34% full project margin)","1.5 – 1.6 kN/m²","< 0.9 W/m²K","7593","461","888","Pre-anodized + Qualicoat Class 1","1242","3160,64","13344,64","26"
"8","Triple Sliding door","3","3","9","External supplier provides glass units (43% material margin only)","1.5 – 1.6 kN/m²","< 0.9 W/m²K","7593","0","444","Pre-anodized + Qualicoat Class 1","1242","3264,99","12543,99","26"
"9","Triple Sliding door","3","3","9","Company supplies glass units (34% full project margin)","1.5 – 1.6 kN/m²","0.9 – 1.2 W/m²K","7593","448","888","Pre-anodized + Qualicoat Class 1","1242","3156,22","13327,22","26"
"10","Triple Sliding door","3","3","9","External supplier provides glass units (43% material margin only)","1.5 – 1.6 kN/m²","0.9 – 1.2 W/m²K","7593","0","444","Pre-anodized + Qualicoat Class 1","1242","3264,99","12543,99","26"
"11","Triple Sliding door","3","3","9","Company supplies glass units (34% full project margin)","1.5 – 1.6 kN/m²","1.2 – 1.6 W/m²K","7593","435","888","Pre-anodized + Qualicoat Class 1","1242","3151,8","13309,8","26"
"12","Triple Sliding door","3","3","9","External supplier provides glass units (43% material margin only)","1.5 – 1.6 kN/m²","1.2 – 1.6 W/m²K","7593","0","444","Pre-anodized + Qualicoat Class 1","1242","3264,99","12543,99","26"
"13","Triple Sliding door","3","3","9","Company supplies glass units (34% full project margin)","< 1.5 kN/m²","< 0.9 W/m²K","7593","461","888","Qualicoat Class 2","1512","3252,44","13706,44","26"
"14","Triple Sliding door","3","3","9","External supplier provides glass units (43% material margin only)","< 1.5 kN/m²","< 0.9 W/m²K","7593","0","444","Qualicoat Class 2","1512","3264,99","12813,99","26"
"15","Triple Sliding door","3","3","9","Company supplies glass units (34% full project margin)","< 1.5 kN/m²","0.9 – 1.2 W/m²K","7593","448","888","Qualicoat Class 2","1512","3248,02","13689,02","26"
"16","Triple Sliding door","3","3","9","External supplier provides glass units (43% material margin only)","< 1.5 kN/m²","0.9 – 1.2 W/m²K","7593","0","444","Qualicoat Class 2","1512","3264,99","12813,99","26"
"17","Triple Sliding door","3","3","9","Company supplies glass units (34% full project margin)","< 1.5 kN/m²","1.2 – 1.6 W/m²K","7593","435","888","Qualicoat Class 2","1512","3243,6","13671,6","26"
"18","Triple Sliding door","3","3","9","External supplier provides glass units (43% material margin only)","< 1.5 kN/m²","1.2 – 1.6 W/m²K","7593","0","444","Qualicoat Class 2","1512","3264,99","12813,99","26"
"19","Triple Sliding door","3","3","9","Company supplies glass units (34% full project margin)","1.5 – 1.6 kN/m²","< 0.9 W/m²K","7593","461","888","Qualicoat Class 2","1512","3252,44","13706,44","26"
"20","Triple Sliding door","3","3","9","External supplier provides glass units (43% material margin only)","1.5 – 1.6 kN/m²","< 0.9 W/m²K","7593","0","444","Qualicoat Class 2","1512","3264,99","12813,99","26"
